epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,935.981,1.62692,2.10503,1.46273,0.00883,0.73719,0.70766,0.61825,0.6426,0.38262,0.71786,0.60702,0.63864,0.34719,1.61449,2.60198,1.5168,0.01255,0,9.98875e-05,9.98875e-05,0.066804
2,1837.76,1.40033,1.72396,1.11899,0.00742,0.58454,0.70104,0.64319,0.68351,0.40471,0.66573,0.63419,0.65646,0.35639,1.55397,2.44629,1.33734,0.01228,0,0.00019593,0.00019593,0.0335668
3,2731.45,1.27177,1.58715,1.00227,0.00609,0.54864,0.71285,0.65522,0.68339,0.41582,0.75464,0.61764,0.67447,0.36444,1.47566,2.33206,1.33389,0.01126,0,0.000288012,0.000288012,0.000325507
4,3623.72,1.24826,1.61062,1.00943,0.00596,0.53158,0.7606,0.71274,0.74607,0.44661,0.74867,0.70726,0.71976,0.39275,1.45683,2.37019,1.26078,0.01101,0,0.00028218,0.00028218,0.00028218
5,4517.46,1.22979,1.52684,0.96895,0.00581,0.51769,0.78561,0.68006,0.73914,0.44435,0.73052,0.66282,0.70288,0.39762,1.47537,2.33203,1.28703,0.01184,0,0.00027624,0.00027624,0.00027624
6,5446.26,1.20895,1.508,0.98589,0.00571,0.49143,0.73605,0.67931,0.69288,0.41336,0.72937,0.67266,0.68079,0.36501,1.51757,2.49792,1.28852,0.01156,0,0.0002703,0.0002703,0.0002703
7,6360.44,1.18996,1.49641,0.92274,0.00559,0.49509,0.76787,0.66389,0.71165,0.43751,0.77069,0.64127,0.69279,0.378,1.46578,2.35777,1.22469,0.01105,0,0.00026436,0.00026436,0.00026436
8,7264.34,1.22995,1.57856,0.95326,0.00567,0.48778,0.79863,0.66957,0.73303,0.4477,0.80947,0.64629,0.70962,0.38712,1.47829,2.43795,1.22015,0.01146,0,0.00025842,0.00025842,0.00025842
9,8173.59,1.19777,1.50464,0.92933,0.00567,0.4558,0.76692,0.73058,0.74721,0.44971,0.79906,0.65573,0.71793,0.39721,1.46096,2.41036,1.16908,0.01119,0,0.00025248,0.00025248,0.00025248
10,9086.96,1.18977,1.46511,0.88765,0.00553,0.46196,0.76932,0.71251,0.73481,0.43608,0.79787,0.65258,0.71695,0.37974,1.45356,2.28175,1.23579,0.01086,0,0.00024654,0.00024654,0.00024654
11,9997.27,1.18506,1.49161,0.899,0.00542,0.45381,0.83071,0.68202,0.74753,0.43795,0.83879,0.67472,0.73469,0.38721,1.51294,2.34269,1.23063,0.01169,0,0.0002406,0.0002406,0.0002406
12,10927.4,1.16815,1.48654,0.8554,0.00533,0.42457,0.80552,0.73706,0.76416,0.46161,0.7734,0.70789,0.72917,0.39449,1.45583,2.35678,1.13396,0.01103,0,0.00023466,0.00023466,0.00023466
13,11853.6,1.16724,1.50031,0.87413,0.00549,0.43703,0.76897,0.69408,0.74603,0.44638,0.76333,0.68963,0.73129,0.38693,1.46549,2.38509,1.18816,0.01108,0,0.00022872,0.00022872,0.00022872
14,12766.9,1.19296,1.47897,0.88907,0.00547,0.44205,0.85314,0.66674,0.76197,0.4577,0.82768,0.65558,0.73577,0.40191,1.46343,2.40537,1.18637,0.01139,0,0.00022278,0.00022278,0.00022278
15,13700.5,1.16927,1.50275,0.8934,0.00547,0.43325,0.81996,0.67189,0.74847,0.45463,0.79097,0.67219,0.74135,0.39967,1.47218,2.34925,1.15419,0.01168,0,0.00021684,0.00021684,0.00021684
