epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,661.297,1.90898,2.84775,2.78422,0.00944,1.56359,0.30477,0.28968,0.28266,0.18636,0.34289,0.28682,0.28359,0.17177,1.47405,2.19065,2.26387,0.01015,0,9.98377e-05,9.98377e-05,0.0668206
2,1260.82,1.54862,2.30241,2.30268,0.0072,1.17112,0.67317,0.32738,0.32229,0.22292,0.66489,0.32341,0.32033,0.19497,1.34777,2.02359,2.18042,0.00818,0,0.000195881,0.000195881,0.0335833
3,1860.47,1.42823,2.09894,2.10098,0.00646,1.08464,0.57937,0.31988,0.36804,0.25933,0.58501,0.31938,0.35772,0.22932,1.26208,2.12361,2.00552,0.00846,0,0.000287964,0.000287964,0.000342077
4,2479.13,1.40142,2.01758,2.03698,0.00694,1.14207,0.38408,0.37698,0.38429,0.27296,0.39804,0.37897,0.37851,0.23909,1.23248,1.96465,2.01686,0.00766,0,0.00028218,0.00028218,0.00028218
5,3084.63,1.36251,1.98768,1.8567,0.00613,1.09761,0.50004,0.34945,0.40607,0.26628,0.49812,0.34724,0.39413,0.26667,1.20421,1.97219,1.80794,0.00805,0,0.00027624,0.00027624,0.00027624
6,3683.81,1.32442,1.88872,1.75549,0.00616,1.07463,0.89474,0.3615,0.44938,0.30356,0.89912,0.36108,0.42905,0.28065,1.14172,1.91311,1.70263,0.00694,0,0.0002703,0.0002703,0.0002703
7,4276.91,1.3041,1.82009,1.66828,0.0061,1.06964,0.80564,0.3693,0.38408,0.26061,0.80124,0.36495,0.37163,0.2369,1.12234,1.82934,1.65637,0.00665,0,0.00026436,0.00026436,0.00026436
8,4867.95,1.29871,1.81351,1.57285,0.00594,0.99715,0.83195,0.37867,0.39132,0.27111,0.82928,0.37669,0.38316,0.24534,1.13258,1.89487,1.7197,0.00693,0,0.00025842,0.00025842,0.00025842
9,5461.62,1.28991,1.85886,1.56245,0.00568,1.00025,0.79225,0.42262,0.43126,0.29136,0.78996,0.42063,0.42538,0.2707,1.13421,1.86918,1.496,0.0073,0,0.00025248,0.00025248,0.00025248
10,6053.7,1.31197,1.78716,1.53371,0.00576,0.9966,0.75839,0.3644,0.36614,0.25742,0.76205,0.36508,0.367,0.23568,1.14435,1.83066,1.60843,0.00782,0,0.00024654,0.00024654,0.00024654
